@@,name,position
---,Wayne Panton,Premier of the Cayman Islands
+++,Samuel Bulgin,Attorney General
+++,Sabrina Turner,Minister for Health & Wellness
+++,Kenneth Bryan,Minister for Tourism & Transport
+++,Juliana Y. O’Connor-Connolly,Minister for Education
+++,Juliana Y. O’Connor-Connolly,Minister for District Administration & Lands
+++,"Johany S. ""Jay"" Ebanks","Minister for Planning, Agriculture, Housing, & Infrastructure"
+++,G Wayne Panton,Premier
+++,G Wayne Panton,Minister for Sustainability & Climate Resiliency
+++,Franz I. Manderson,Deputy Governor
+++,Christopher Saunders,Minister for Border Control & Labour
+++,Christopher Saunders,Minister for Finance & Economic Development
+++,Christopher Saunders,Deputy Premier
+++,Bernie A. Bush,Minister for Home Affairs
+++,Bernie A. Bush,"Minister for Youth, Sports, Culture & Heritage"
+++,Andre M. Ebanks,"Minister for Investment, Innovation & Social Development"
+++,Andre M. Ebanks,Minister for Financial Services & Commerce
